,source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,teff_gspphot,logg_gspphot,mh_gspphot,pm,radial_velocity,lum_flame,radius_flame,mass_flame,mag
3882,141548451197373056,42.88211605823311,37.27712993746931,1.0366247154310493,14.904455,0.87361526,5427.2617,4.4147,-0.7502,17.392906,,0.7342529,0.968539,0.86519945,4.982562980786918
3883,141550753299818368,43.014041637495964,37.40001886868477,0.7597272638319156,13.266877,1.1764765,,,,6.229747,-0.4522438,,,,2.6701647803229243
3884,141555838541094144,43.0509790954719,37.40091469223142,1.6673337077414272,13.941086,0.8717928,5733.5024,4.4621,-0.5012,7.8336987,-13.276733,0.7868661,0.9027932,1.0207299,5.0511984664188
3885,141558243722756096,43.15358051249926,37.52875693609161,2.0638574832134764,9.035836,1.2886343,,,,8.020152,-47.685493,,,,0.6092347417559871
3886,141560477106044800,43.02194281007717,37.51237225433496,0.8923377503718156,14.441389,0.8159065,5617.8594,4.2851,-0.6532,12.536689,,1.4723679,1.278323,0.93761736,4.194035414932452
3887,141560614544707584,43.04463987737135,37.53318619282336,3.6527090916226848,16.495485,2.6400366,3610.0422,4.6988,0.1703,30.192331,,0.05671488,0.6142339,0.5496845,9.308560733730681
3888,141562951005047040,43.09618878382695,37.62886169566823,3.1976614161180645,17.246542,2.584218,,,,16.297243,,,,,9.77070436013327
3889,141565115670454912,42.7871705753893,37.46597650896287,0.6071134791465915,13.86666,1.0953074,5095.818,3.4467,-0.3953,7.273007,-15.866245,6.446069,3.270243,1.402073,2.783010447754677
3890,141569582436307968,42.667285691946944,37.545108183229566,0.9211083254601573,15.63314,1.0042295,5200.643,4.5617,-0.3677,3.7674253,,0.5002969,0.8697544,0.8416926,5.4546941024797775
3891,141573052769874560,42.70846101311943,37.70242899377245,1.0019948614639167,15.167502,0.8797121,5542.2266,4.5874,-0.5148,4.759836,,0.6354309,0.86866283,0.9576718,5.17183082864368
3892,141577240361595264,42.95371686945869,37.76263336367668,3.5773832217817474,15.886556,2.1600695,3768.5437,4.6113,-0.3253,17.469666,,0.06666066,0.60505325,0.57571,8.654382046929186
3893,141594729468649344,41.77830347798644,36.83794058183036,1.5010965561537766,15.848925,1.3899355,4589.595,4.5782,0.1251,10.193943,,0.19885142,0.70648754,0.736966,6.730967779789619
3894,141597482543821184,41.697208332564514,36.84739997140199,2.6723451513261702,17.513752,2.5073204,3566.1284,4.8061,-0.1892,2.6313198,,0.034929104,0.48899665,,9.648214731020595
